Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),Sunny
14015,2014,3,12,15.2,TRUE
14015,2014,3,13,25.4,TRUE
14015,2014,3,14,10.6,FALSE
14015,2014,3,15,23.8,TRUE
14015,2014,3,16,22.4,TRUE
14015,2014,3,17,21.8,TRUE
14015,2014,3,18,22.6,TRUE
14015,2014,3,19,26.4,TRUE
14015,2014,3,20,24.5,TRUE
14015,2014,3,21,25.4,TRUE
14015,2014,3,22,20.4,TRUE
14015,2014,3,23,19.5,TRUE
14015,2014,3,24,21.9,TRUE
14015,2014,3,25,23.8,TRUE
14015,2014,3,26,20.5,TRUE
14015,2014,3,27,26.1,TRUE
14015,2014,3,28,26.1,TRUE
14015,2014,3,29,25.1,TRUE
14015,2014,3,30,19.9,TRUE
14015,2014,3,31,23.1,TRUE
14015,2014,4,1,22.2,TRUE
14015,2014,4,2,20.1,TRUE
14015,2014,4,3,21.8,TRUE
14015,2014,4,4,21.2,TRUE
14015,2014,4,5,18.8,TRUE
14015,2014,4,6,22.2,TRUE
14015,2014,4,7,15.1,TRUE
14015,2014,4,8,11,FALSE
14015,2014,4,9,16,TRUE
14015,2014,4,10,16.9,TRUE
14015,2014,4,11,22.5,TRUE
14015,2014,4,12,21.8,TRUE
14015,2014,4,13,17.4,TRUE
14015,2014,4,14,20.2,TRUE
14015,2014,4,15,18.7,TRUE
14015,2014,4,16,23.4,TRUE
14015,2014,4,17,18.7,TRUE
14015,2014,4,18,18.5,TRUE
14015,2014,4,19,22.9,TRUE
14015,2014,4,20,23.3,TRUE
14015,2014,4,21,23.1,TRUE
14015,2014,4,22,22,TRUE
14015,2014,4,23,21.5,TRUE
14015,2014,4,24,21.5,TRUE
14015,2014,4,25,18.1,TRUE
14015,2014,4,26,21.8,TRUE
14015,2014,4,27,17.5,TRUE
14015,2014,4,28,17.6,TRUE
14015,2014,4,29,19.8,TRUE
14015,2014,4,30,20.8,TRUE
14015,2014,5,1,20.6,TRUE
14015,2014,5,2,20.1,TRUE
14015,2014,5,3,13.7,FALSE
14015,2014,5,4,18.4,TRUE
14015,2014,5,5,22.3,TRUE
14015,2014,5,6,22.8,TRUE
14015,2014,5,7,22.5,TRUE
14015,2014,5,8,22.3,TRUE
14015,2014,5,9,21.9,TRUE
14015,2014,5,10,21.6,TRUE
14015,2014,5,11,19.7,TRUE
14015,2014,5,12,21.1,TRUE
14015,2014,5,13,21.7,TRUE
14015,2014,5,14,21.6,TRUE
14015,2014,5,15,21.2,TRUE
14015,2014,5,16,18.6,TRUE
14015,2014,5,17,20.6,TRUE
14015,2014,5,18,19.6,TRUE
14015,2014,5,19,16,TRUE
14015,2014,5,20,21.1,TRUE
14015,2014,5,21,21,TRUE
14015,2014,5,22,20.6,TRUE
14015,2014,5,23,20.9,TRUE
14015,2014,5,24,21.6,TRUE
14015,2014,5,25,21.6,TRUE
14015,2014,5,26,20.8,TRUE
14015,2014,5,27,19.6,TRUE
14015,2014,5,28,20.2,TRUE
14015,2014,5,29,20,TRUE
14015,2014,5,30,20,TRUE
14015,2014,5,31,18,TRUE
14015,2014,6,1,19.6,TRUE
14015,2014,6,2,20.1,TRUE
14015,2014,6,3,20.4,TRUE
14015,2014,6,4,19.7,TRUE
